text,label,timestamp,cleaned_text
I've been cutting myself again. I've tried medication but nothing helps. The physical pain distracts from the emotional torture.,1,2024-09-20 22:57:37,ive cutting ive tried medication nothing help physical pain distracts emotional torture
I've been cutting myself again. The darkness is consuming me completely. The physical pain distracts from the emotional torture.,1,2025-03-06 00:12:12,ive cutting darkness consuming completely physical pain distracts emotional torture
I can't take it anymore. Everything feels pointless and I don't see a reason to continue. I've been stockpiling pills just in case.,1,2025-04-17 01:05:15,cant take anymore everything feel pointless dont see reason continue ive stockpiling pill case
I've been feeling a bit down lately. I'm trying new hobbies to distract myself positively. But I'm trying to stay positive.,0,2025-06-01 16:23:14,ive feeling bit lately im trying new hobby distract positively im trying stay positive
I've been planning how to kill myself. My depression has never been this bad before. I don't see any other way out.,1,2025-01-13 07:32:20,ive planning kill depression never bad dont see way
Work has been stressful this week. I've been exercising more to help with my mood. I need to find better coping mechanisms.,0,2025-02-13 17:13:34,work stressful week ive exercising help mood need find better coping mechanism
I had trouble sleeping last night. I'm trying to be kinder to myself during this time. Going to try meditation tonight.,0,2024-08-13 12:46:23,trouble sleeping last night im trying kinder time going try meditation tonight
"I feel completely hopeless. I can't sleep, I can't eat, I can't function. I just want the pain to stop.",1,2024-10-31 09:28:22,feel completely hopeless cant sleep cant eat cant function want pain stop
I had trouble sleeping last night. I'm trying new hobbies to distract myself positively. Going to try meditation tonight.,0,2024-08-10 06:26:09,trouble sleeping last night im trying new hobby distract positively going try meditation tonight
I can't take it anymore. Everything feels pointless and I don't see a reason to continue. My family would be better off without me.,1,2024-09-24 10:19:54,cant take anymore everything feel pointless dont see reason continue family would better without
I've been thinking about ending it all. I've lost my job and have no purpose anymore. No one would miss me anyway.,1,2025-06-04 04:06:58,ive thinking ending ive lost job purpose anymore one would miss anyway
I can’t tell if I’m just tired or something more. It’s hard to focus on anything.,0,2024-11-03 19:44:38,cant tell im tired something hard focus anything
My friend and I had an argument. I know this is temporary and will pass. I hope we can work things out.,0,2025-05-06 11:48:36,friend argument know temporary pas hope work thing
"I feel completely hopeless. I can't sleep, I can't eat, I can't function. I just want the pain to stop.",1,2025-05-28 13:44:53,feel completely hopeless cant sleep cant eat cant function want pain stop
My friend and I had an argument. I'm considering talking to a therapist about it. I hope we can work things out.,0,2025-03-02 12:22:12,friend argument im considering talking therapist hope work thing
I’ve been isolating myself lately. I haven’t talked to anyone about it yet. It’s just easier.,0,2024-12-20 09:31:32,ive isolating lately havent talked anyone yet easier
My mood has been up and down. I've been reading self-help books that give me perspective. I'm trying to identify my triggers.,0,2024-08-10 10:37:48,mood ive reading selfhelp book give perspective im trying identify trigger
There’s a heaviness I can’t explain. But I’m still trying to keep it together.,1,2025-01-14 19:40:38,there heaviness cant explain im still trying keep together
I'm feeling a bit overwhelmed with responsibilities. I'm practicing self-care when I can. Need to prioritize better.,0,2024-10-21 23:20:42,im feeling bit overwhelmed responsibility im practicing selfcare need prioritize better
I hate myself so much. I feel like I'm drowning and can't breathe. I don't deserve to live.,1,2025-06-03 16:52:51,hate much feel like im drowning cant breathe dont deserve live
My mood has been up and down. I know this is temporary and will pass. I'm trying to identify my triggers.,0,2025-01-24 01:31:53,mood know temporary pas im trying identify trigger
I've written my goodbye note. I feel like I'm drowning and can't breathe. I'm just waiting for the right moment.,1,2025-02-11 07:37:57,ive written goodbye note feel like im drowning cant breathe im waiting right moment
I'm worried about my upcoming exam. I've been reading self-help books that give me perspective. I'm studying hard but still feel nervous.,0,2024-12-04 06:29:48,im worried upcoming exam ive reading selfhelp book give perspective im studying hard still feel nervous
I'm feeling a bit overwhelmed with responsibilities. My friends have been supportive. Need to prioritize better.,0,2025-03-13 00:29:04,im feeling bit overwhelmed responsibility friend supportive need prioritize better
I had an anxiety attack yesterday. I've been exercising more to help with my mood. Breathing exercises helped me through it.,0,2025-02-15 12:20:40,anxiety attack yesterday ive exercising help mood breathing exercise helped
I can’t tell if I’m just tired or something more. But I’m still trying to keep it together.,1,2025-04-14 12:42:28,cant tell im tired something im still trying keep together
I hate myself so much. I'm exhausted from pretending to be okay. I don't deserve to live.,1,2025-05-20 07:03:07,hate much im exhausted pretending okay dont deserve live
"Some days I feel like giving up, other days I feel hopeful. I’m not sure if I need help or not.",1,2024-08-09 12:44:49,day feel like giving day feel hopeful im sure need help
